Country,League,Club,Player Names,Mins,Goals,xG,On Target Per Avg Match,Year
Germany,Bundesliga,(BMG),Lars Stindl,1518,9,7.19,0.94,2019
Germany,Bundesliga,(MAI),Robin Quaison,2718,13,12.02,0.98,2019
Germany,Bundesliga,(BAY),Serge Gnabry,2216,12,13.3,1.71,2019
Germany,Bundesliga,(KOL),Sebastian Andersson,2813,12,13.62,1.25,2019
Germany,Bundesliga,(BMG),Alassane Plea,2252,10,11.62,1.48,2019
France,France Ligue 7,(PSG),Neymar ,1396,12,15.87,2.45,2019
France,France Ligue 13,(MAR),Dimitri Payet,2057,9,5.85,1.2,2019
France,France Ligue 6,(PSG),Mauro Icardi,1353,12,12.11,1.4,2019
France,France Ligue 15,(LYO),Memphis Depay,1077,9,4.53,1.85,2019
France,France Ligue 9,(NIC),Kasper Dolberg,1994,11,7.77,1.19,2019
France,France Ligue 11,(REN),M'Baye Niang,2276,10,8.15,1.25,2019
France,France Ligue 20,(STR),Adrien Thomasson,2168,7,5.25,0.79,2019
France,France Ligue 12,(MPE),Andy Delort,2409,9,10.9,1.14,2019
France,France Ligue 8,(MAR),Dario Benedetto,2214,11,8.86,1.16,2019
France,France Ligue 2,(MON),Wissam Ben Yedder,2321,18,12.95,1.47,2019
France,France Ligue 19,(STR),Ludovic Ajorque,2163,8,6.6,0.97,2019
France,France Ligue 14,(LEI),Islam Slimani,1378,9,8.7,1.38,2019
France,France Ligue 17,(REN),Adrien Hunou,1325,8,7.25,1.08,2019
France,France Ligue 10,(STE),Denis Bouanga,2173,10,9.38,1.62,2019
France,France Ligue 16,(REN),Sehrou Guirassy,2030,9,8.55,0.89,2019
France,France Ligue 18,(PSG),Ãngel Di Maria,2106,8,9.98,1.08,2019
France,France Ligue 3,(LYO),Moussa Dembele,2358,16,11.42,1.05,2019
France,France Ligue 5,(STR),Habib Diallo,2344,12,9.13,1.38,2019
France,France Ligue 1,(PSG),Kylian Mbappe-Lottin,1611,18,17.98,2.89,2019
France,France Ligue 4,(NAP),Victor Osimhen,2434,13,14.86,1.37,2019
England,Premier League,(EVE),Dominic Calvert-Lewin,2849,13,16.19,1.27,2019
England,Premier League,(WOL),Raul Jimenez,3445,17,18.49,1.19,2019
England,Premier League,(MNC),Kevin De Bruyne,2984,13,7.22,0.99,2019
